配置,年化,夏普,最大回撤,波动,年换手,年交易笔数,单笔均额,成本年化拖累,累计成本元,夏普前半,夏普后半,期末资金
European-10日-带10%,0.013448435423391691,0.28601907902844254,-0.23618353065462694,0.09472211045531537,34.84125849068644,517.4772151898734,13465.813553898191,0.019959528900421467,38933.40205267398,0.414317219246525,0.1952955748950121,227831.648933946
European-5日-带20%,0.014165582309223046,0.2838280436699351,-0.19366360050963294,0.09112546950665565,46.86529699924204,500.76455696202527,18717.49761347267,0.02194634545548077,42808.92076501188,0.47408657530688614,0.16215948609719735,229408.92590255674
American-20/5-w2,0.02261502650904257,0.279308292450879,-0.16815453977881245,0.09685571202425859,1.7328866989401692,9.227848101265822,37557.76384534249,0.0005918288276515772,1154.4315403573976,0.32678603408916235,0.2332811491614428,248744.5816955851
American-20/5-w1,0.026524686137452402,0.2643714356847677,-0.24327733504750537,0.1207102679940305,3.2953039046961243,19.070886075949367,34558.477163280746,0.0011410779764565995,2225.8064232116385,0.2856095868218134,0.24520135157859108,258176.50392335712
European-5日-带10%,0.01128419881586673,0.26260560264332466,-0.2008660167061619,0.08865102536154368,48.856188807210174,622.5721518987341,15694.948339146715,0.02542667834633413,49597.71825581226,0.4425443744609342,0.1369649238645289,223130.50383389305
European-10日-带0%,0.010258228473768671,0.2612445336492183,-0.2423741057143013,0.0934075896978599,35.384257674395094,695.9848101265823,10168.112050594777,0.024574798600656794,47936.026900046585,0.3622535026214191,0.18843410234531413,220932.46648043566
American-40/10-w1,0.025982924523706874,0.24078102440266153,-0.33871179820763775,0.13243193362828043,3.1984190426655603,17.63544303797468,36272.624801978076,0.001077380855095014,2101.55771734583,0.3978471412276886,0.11933122099343904,256850.65296582787
European-5日-带0%,0.008286566176688215,0.23415999432111753,-0.21389772156256093,0.08821435597729037,49.05816763047956,779.9582278481012,12579.69103443672,0.02944027392795454,57426.707168108864,0.3804071048271137,0.13125050022416748,216762.85949341964
American-100/20-w2,0.017496227589924862,0.21859896671827883,-0.23169748258972933,0.10186136719580799,1.944464271640656,11.688607594936707,33271.10189725186,0.0006840167955780636,1334.254983967087,0.23292975368056912,0.2046256452566565,236863.4880937799
American-250/20-w5,0.014021553222435257,0.20925817370143537,-0.16502066587849107,0.08315434178383,1.3113067955507711,7.177215189873417,36540.82428518904,0.00042816304416365473,835.1822342945366,0.1583993097793661,0.25813009317952074,229091.36735652745
American-20/5-w0.5,0.020136258545857988,0.20688724149303647,-0.21093895892898729,0.12040434600854605,3.8707506522028186,22.864556962025315,33858.085758071495,0.0013543443731861419,2641.8075427581534,0.24070545902823903,0.17567590733963964,242926.00689299058
American-40/10-w2,0.01592405848779177,0.19435819231096263,-0.23295766328262446,0.09968163627397982,1.9914465883173709,11.278481012658228,35314.09213851231,0.0007065496428500375,1378.207945312419,0.24462145255610931,0.14234050129025927,233318.03624233202
American-250/50-w5,0.00835073178084178,0.17115007121534545,-0.11740345475492397,0.05870719211263098,0.8876029228899703,4.921518987341772,36070.283389047145,0.0002967973628277539,578.9380657627793,0.17623434344735378,0.1659462097924822,216897.43505833443
American-100/20-w5,0.004054712228300339,0.14087993984378477,-0.054057522000143465,0.03248152745678628,0.26224078106137355,1.4354430379746834,36537.95714964464,7.096702752966065e-05,138.42951048995536,-0.196472765935887,0.26466505698212406,208051.02614916826
American-20/5-w5,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,200000.0
American-40/10-w5,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,200000.0
