Date,BTC-USD_bh,portfolio_comm_0.0,portfolio_comm_0.0001,portfolio_comm_0.0005
2018-07-30,59898.660512251256,91860.66507758741,91787.40134512339,91494.81096986041
2018-07-31,56969.50934406524,91860.66507758741,91787.40134512339,91494.81096986041
2018-08-01,55830.69770674566,91860.66507758741,91787.40134512339,91494.81096986041
2018-08-02,55407.76875293216,91860.66507758741,91787.40134512339,91494.81096986041
2018-08-03,54435.682500066316,91860.66507758741,91787.40134512339,91494.81096986041
2018-08-04,51495.54811439393,91860.66507758741,91787.40134512339,91494.81096986041
2018-08-05,51756.43528235628,91860.66507758741,91787.40134512339,91494.81096986041
2018-08-06,50902.08611772078,91860.66507758741,91787.40134512339,91494.81096986041
2018-08-07,49447.32463909655,91860.66507758741,91787.40134512339,91494.81096986041
2018-08-08,46171.980453591146,91860.66507758741,91787.40134512339,91494.81096986041
2018-08-09,48093.532250652184,91860.66507758741,91787.40134512339,91494.81096986041
2018-08-10,45285.34306072668,91860.66507758741,91787.40134512339,91494.81096986041
2018-08-11,46098.24774062846,91860.66507758741,91787.40134512339,91494.81096986041
2018-08-12,46295.652483562175,91860.66507758741,91787.40134512339,91494.81096986041
2018-08-13,46111.719343326586,91860.66507758741,91787.40134512339,91494.81096986041
2018-08-14,45395.17523559037,91860.66507758741,91787.40134512339,91494.81096986041
2018-08-15,46191.89826108352,91860.66507758741,91787.40134512339,91494.81096986041
2018-08-16,46383.81139527405,91860.66507758741,91787.40134512339,91494.81096986041
2018-08-17,48184.32613348628,91860.66507758741,91787.40134512339,91494.81096986041
2018-08-18,47035.70039069793,91860.66507758741,91787.40134512339,91494.81096986041
2018-08-19,47638.38657393189,91860.66507758741,91787.40134512339,91494.81096986041
2018-08-20,46191.9697664057,91860.66507758741,91787.40134512339,91494.81096986041
2018-08-21,47511.63981510726,91860.66507758741,91787.40134512339,91494.81096986041
2018-08-22,46691.19489898193,91860.66507758741,91787.40134512339,91494.81096986041
2018-08-23,47849.33800015202,91860.66507758741,91787.40134512339,91494.81096986041
2018-08-24,49204.52116711273,91860.66507758741,91787.40134512339,91494.81096986041
2018-08-25,49521.057352059244,91860.66507758741,91787.40134512339,91494.81096986041
2018-08-26,49111.52849562169,91860.66507758741,91787.40134512339,91494.81096986041
2018-08-27,50410.33329131204,91860.66507758741,91787.40134512339,91494.81096986041
2018-08-28,51959.98948299722,91860.66507758741,91787.40134512339,91494.81096986041
2018-08-29,51600.32843824582,91289.73903415994,91207.8495444057,90880.89799168185
2018-08-30,51095.61169692641,90406.36742776113,90325.18247352254,90001.04459550476
2018-08-31,51530.1817171903,90351.77659057858,90261.70484295695,89902.16185127838
2018-09-01,52670.01945588311,90351.77659057858,90261.70484295695,89902.16185127838
2018-09-02,53251.91189142804,91385.62644536431,91285.59270234722,90886.38812527084
2018-09-03,53159.21239175792,91228.19705906314,91128.3202575085,90729.74214993458
